"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MLI",0.024389,-0.082897,0.139594,0.011406
"COVID-19","routine","MLI",0.114316,-0.114362,0.40853,0.134241
"HPV","campaign","MLI",11.948057,10.22702,13.987818,11.915743
"HPV","routine","MLI",12.689132,10.799515,14.882721,12.641191
"HepB","routine","MLI",9.667741,7.633021,12.445809,9.505953
"Hib","routine","MLI",6.041009,3.402522,9.692674,5.97749
"Measles","campaign","MLI",3.43574,1.73471,4.636971,3.527718
"Measles","routine","MLI",39.577418,33.396662,47.0187,39.75154
"MenA","campaign","MLI",0.818837,0.512952,1.062371,0.821039
"MenA","routine","MLI",0.327739,0.14557,0.478995,0.338393
"MenACWYX","campaign","MLI",0.792524,0.204609,1.5633,0.768231
"MenACWYX","routine","MLI",0.675597,0.279985,0.98601,0.708713
"PCV","routine","MLI",4.148274,-0.283631,9.186353,4.229374
"Rota","routine","MLI",1.080534,-0.36299,2.64305,1.150918
"Rubella","campaign","MLI",0.100059,-0.228533,1.738179,-0.061317
"Rubella","routine","MLI",0.848431,0.121904,1.788873,0.807311
"Typhoid","campaign","MLI",1.090185,0.255459,3.908831,0.81291
"Typhoid","routine","MLI",2.10757,0.199369,12.833066,0.95319
"YF","campaign","MLI",0.725154,0.23241,1.53646,0.65598
"YF","routine","MLI",2.824105,0.838831,6.194063,2.594135
