"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MMR",4.295396,2.088338,8.851106,3.66674
"COVID-19","routine","MMR",2.125983,1.918796,2.333893,2.09717
"HPV","routine","MMR",1040.104528,835.741874,1265.359935,1031.720918
"HepB","routine","MMR",186.983704,142.249001,243.388515,184.603434
"Hib","routine","MMR",153.143235,67.630396,264.215481,149.569425
"JE","routine","MMR",98.667302,66.956805,130.895353,97.757868
"Measles","campaign","MMR",34.053092,13.36994,55.022069,34.433034
"Measles","routine","MMR",561.068419,457.282582,672.51046,558.362848
"PCV","routine","MMR",98.492487,-45.725413,229.321758,92.315238
"Rota","routine","MMR",39.141665,-40.983202,114.434361,39.877931
"Rubella","campaign","MMR",9.868256,-1.20424,38.22085,4.00809
"Rubella","routine","MMR",14.273899,5.27669,27.605466,13.872163
"Typhoid","campaign","MMR",5.830189,0.981089,31.00057,3.064787
"Typhoid","routine","MMR",19.304595,0.458192,146.057163,6.09154
