"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","MMR",2.977459,2.093153,4.718546,2.791971
"HPV","MMR",1040.104528,835.741874,1265.359935,1031.720918
"HepB","MMR",186.983704,142.249001,243.388515,184.603434
"Hib","MMR",153.143235,67.630396,264.215481,149.569425
"JE","MMR",98.667302,66.956805,130.895353,97.757868
"Measles","MMR",296.476082,235.234398,359.22525,295.167974
"PCV","MMR",98.492487,-45.725413,229.321758,92.315238
"Rota","MMR",39.141665,-40.983202,114.434361,39.877931
"Rubella","MMR",11.339844,2.073506,31.967576,7.038935
"Typhoid","MMR",7.911739,0.951143,48.580252,3.632926
