"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","MMR",0.070161,0.034396,0.124745,0.064336
"HPV","MMR",18.6629,15.096154,23.414507,18.474977
"HepB","MMR",7.383464,5.515167,9.828708,7.228504
"Hib","MMR",2.1843,0.889,3.852819,2.13401
"JE","MMR",0.138175,0.062407,0.358414,0.11362
"Measles","MMR",4.45387,3.534465,5.409523,4.424757
"PCV","MMR",1.396459,-0.779554,3.373739,1.301242
"Rota","MMR",0.579218,-0.639451,1.725669,0.591436
"Rubella","MMR",0.148562,0.033233,0.483122,0.101402
"Typhoid","MMR",0.164948,0.024191,0.880806,0.093881
