"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MNG",9.383429,3.58181,21.524904,8.441749
"COVID-19","routine","MNG",1.516771,0.707022,2.23279,1.519653
"HPV","campaign","MNG",352.242015,287.80602,421.851433,351.461045
"HPV","routine","MNG",315.798837,256.402073,377.654732,315.967962
"HepB","routine","MNG",295.750909,241.377961,357.379563,292.71006
"Hib","routine","MNG",64.322617,44.708266,86.874577,63.511058
"Measles","campaign","MNG",3.433254,0.964364,11.15995,2.96791
"Measles","routine","MNG",459.721805,344.711729,561.70128,460.8735
"PCV","routine","MNG",42.783641,-54.327831,117.88381,44.060063
"Rota","routine","MNG",21.679862,-13.133091,80.639282,21.56355
"Rubella","campaign","MNG",18.299238,-14.348779,65.999646,13.076512
"Rubella","routine","MNG",24.875897,2.63162,43.752032,26.124306
"Typhoid","campaign","MNG",4.336504,0.377297,29.648794,2.132019
"Typhoid","routine","MNG",18.890763,0.40373,130.531464,5.111412
