"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MOZ",1.522999,-0.829362,5.132305,1.502299
"COVID-19","routine","MOZ",4.396289,-0.361138,8.837958,4.752693
"Cholera","campaign","MOZ",1.516982,1.075525,2.094109,1.494871
"HPV","routine","MOZ",675.188293,586.729147,776.831725,676.197905
"HepB","routine","MOZ",147.392469,120.542954,177.744039,146.570983
"Hib","routine","MOZ",173.37051,104.696782,280.40929,168.525833
"Measles","campaign","MOZ",59.212005,24.315472,111.860875,54.048027
"Measles","routine","MOZ",1242.261504,1001.482339,1472.697644,1242.31994
"PCV","routine","MOZ",110.167524,12.676626,223.355551,108.57339
"Rota","routine","MOZ",42.078088,-3.709737,89.454495,40.173374
"Rubella","campaign","MOZ",0.158816,-5.139682,10.127581,-0.695935
"Rubella","routine","MOZ",31.066788,14.786634,49.884587,30.305453
"Typhoid","campaign","MOZ",24.759138,3.748411,121.553738,13.512328
"Typhoid","routine","MOZ",51.382409,2.817928,298.610633,18.020227
