"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MOZ",0.035182,-0.056533,0.15212,0.034198
"COVID-19","routine","MOZ",0.098343,-0.074601,0.246099,0.102746
"Cholera","campaign","MOZ",0.040258,0.027632,0.061602,0.039052
"HPV","routine","MOZ",18.596562,16.228614,21.551162,18.549553
"HepB","routine","MOZ",6.322551,5.056467,7.813672,6.262055
"Hib","routine","MOZ",2.735622,1.598008,4.516053,2.657471
"Measles","campaign","MOZ",0.915826,0.319892,1.822363,0.824557
"Measles","routine","MOZ",20.403244,16.293093,24.397652,20.360197
"PCV","routine","MOZ",1.700608,0.06498,3.6216,1.669943
"Rota","routine","MOZ",0.704266,-0.086979,1.520074,0.674019
"Rubella","campaign","MOZ",-0.014741,-0.086918,0.105799,-0.02214
"Rubella","routine","MOZ",0.423543,0.194063,0.714392,0.412184
"Typhoid","campaign","MOZ",0.60896,0.129154,2.196902,0.438828
"Typhoid","routine","MOZ",1.300062,0.074432,8.731155,0.53463
