"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","MOZ",0.050114,-0.013548,0.106378,0.047257
"Cholera","MOZ",0.064701,0.044409,0.099004,0.062762
"HPV","MOZ",18.596562,16.228614,21.551162,18.549553
"HepB","MOZ",6.322551,5.056467,7.813672,6.262055
"Hib","MOZ",2.735622,1.598008,4.516053,2.657471
"Measles","MOZ",10.274371,8.029602,12.341005,10.306135
"PCV","MOZ",1.700608,0.06498,3.6216,1.669943
"Rota","MOZ",0.704266,-0.086979,1.520074,0.674019
"Rubella","MOZ",0.191505,0.071806,0.368243,0.180408
"Typhoid","MOZ",0.768828,0.119622,3.542118,0.480391
