"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","MRT",3.499249,2.868586,5.268978,3.366869
"HPV","MRT",809.791165,635.994669,1026.799093,798.47644
"HepB","MRT",163.783489,122.161549,282.529759,153.960191
"Hib","MRT",237.354154,147.723968,318.598303,235.147048
"Measles","MRT",537.558925,426.011762,624.153902,540.359626
"Meningitis","MRT",46.097407,28.172133,63.17889,46.372985
"PCV","MRT",171.220636,41.944953,294.83059,173.105231
"Rota","MRT",72.555149,14.527394,125.687219,74.758427
"Rubella","MRT",12.867245,-3.817408,62.415768,6.422892
"Typhoid","MRT",49.599328,6.056709,248.428531,25.147846
"YF","MRT",151.031661,40.893849,320.912823,141.021681
