"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","MRT",0.06791,-0.022686,0.174152,0.064161
"COVID-19","routine","MRT",0.015704,-0.014537,0.061055,0.013744
"HPV","campaign","MRT",21.067721,15.55682,29.202053,20.553681
"HPV","routine","MRT",17.438531,11.323475,27.328797,16.59342
"HepB","routine","MRT",6.300997,4.680756,11.033768,5.909655
"Hib","routine","MRT",3.510194,2.149553,4.72924,3.477669
"Measles","campaign","MRT",1.352584,0.477124,1.95866,1.436722
"Measles","routine","MRT",23.403764,19.349863,28.126298,23.521871
"MenA","campaign","MRT",0.457706,0.322527,0.627974,0.449961
"MenA","routine","MRT",1.573821,0.654733,2.521738,1.611743
"MenACWYX","campaign","MRT",0.855534,0.249224,1.586678,0.86399
"MenACWYX","routine","MRT",0.685723,0.363357,1.031148,0.699216
"PCV","routine","MRT",2.515513,0.552639,4.388909,2.544602
"Rota","routine","MRT",1.236659,0.339169,2.051318,1.264796
"Rubella","campaign","MRT",0.116904,-0.255684,1.443356,-0.016862
"Rubella","routine","MRT",0.275806,0.056397,0.47679,0.275186
"Typhoid","campaign","MRT",1.061536,0.231025,3.890887,0.762706
"Typhoid","routine","MRT",1.727695,0.109617,9.87033,0.772274
"YF","routine","MRT",4.197586,1.130591,9.203693,3.866735
