"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","MRT",0.034799,0.012405,0.083145,0.030928
"HPV","MRT",18.18021,12.22174,27.488338,17.387393
"HepB","MRT",6.300997,4.680756,11.033768,5.909655
"Hib","MRT",3.510194,2.149553,4.72924,3.477669
"Measles","MRT",8.06939,6.391139,9.395235,8.095571
"Meningitis","MRT",0.64734,0.393347,0.893788,0.648951
"PCV","MRT",2.515513,0.552639,4.388909,2.544602
"Rota","MRT",1.236659,0.339169,2.051318,1.264796
"Rubella","MRT",0.176354,-0.051279,0.967216,0.088148
"Typhoid","MRT",1.252762,0.211426,4.911174,0.812176
"YF","MRT",4.197586,1.130591,9.203693,3.866735
