"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","MWI",1.770685,-1.344063,4.257369,2.01948
"Cholera","MWI",1.011897,0.595473,1.733936,1.048758
"HPV","MWI",927.552704,813.826047,1056.519515,922.070968
"HepB","MWI",129.950439,101.572385,215.072359,125.87926
"Hib","MWI",126.040147,87.656748,176.315991,123.502007
"Measles","MWI",262.910092,206.479496,315.047011,263.051314
"PCV","MWI",74.242994,10.058795,145.496922,76.129483
"Rota","MWI",35.981811,10.858904,58.510948,37.011887
"Rubella","MWI",19.499766,0.975053,78.37831,11.894588
"Typhoid","MWI",21.856931,2.519295,109.20584,11.03078
