"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","MWI",0.019908,-0.098272,0.115354,0.019443
"Cholera","MWI",0.027419,0.01457,0.057407,0.026591
"HPV","MWI",24.76394,20.854283,28.881634,24.581412
"HepB","MWI",4.953964,3.897954,8.238411,4.806078
"Hib","MWI",2.020911,1.396727,2.823404,1.983534
"Measles","MWI",4.226156,3.25368,5.148296,4.22021
"PCV","MWI",1.087962,0.056922,2.282242,1.11766
"Rota","MWI",0.601496,0.168386,0.985003,0.619888
"Rubella","MWI",0.243761,0.017037,1.137495,0.145485
"Typhoid","MWI",0.509009,0.071797,2.15728,0.322114
