"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","NAM",12.048135,3.803774,26.040785,11.085339
"COVID-19","routine","NAM",1.029311,-4.082179,6.286193,0.995653
"HPV","campaign","NAM",1150.922045,996.112665,1298.055125,1150.235256
"HPV","routine","NAM",1085.294925,949.125943,1224.19068,1082.452902
"HepB","routine","NAM",71.659819,53.084028,94.778776,70.901827
"Hib","routine","NAM",47.662124,36.66359,61.217207,47.307033
"Measles","campaign","NAM",35.459525,18.129852,47.028104,36.420811
"Measles","routine","NAM",521.875987,430.08707,615.17324,520.534804
"PCV","routine","NAM",27.109927,10.833847,44.828216,26.931429
"Rota","routine","NAM",17.733362,13.163369,22.647014,17.673953
"Rubella","campaign","NAM",-9.190961,-22.128435,-0.627202,-8.050247
"Rubella","routine","NAM",11.961269,4.953584,18.715301,11.970273
"Typhoid","campaign","NAM",9.235239,0.872941,31.47731,6.623077
"Typhoid","routine","NAM",19.224929,1.086033,98.125486,8.432875
