"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","NER",0.022552,-0.119069,0.138691,0.033339
"COVID-19","routine","NER",0.131735,-0.175017,0.378891,0.147659
"HPV","campaign","NER",5.650152,3.811235,8.923927,5.375181
"HPV","routine","NER",7.937393,5.778748,11.59037,7.639541
"HepB","routine","NER",6.756527,5.681115,7.914522,6.756839
"Hib","routine","NER",8.336903,6.043971,11.313321,8.170554
"Measles","campaign","NER",2.952651,2.062635,3.910837,2.932048
"Measles","routine","NER",32.815541,28.032049,37.8125,32.912295
"MenA","campaign","NER",0.78107,0.446792,0.99687,0.807467
"MenA","routine","NER",0.351565,0.139252,0.551794,0.364291
"MenACWYX","campaign","NER",0.799101,-0.118773,1.749231,0.775915
"MenACWYX","routine","NER",0.71385,0.322257,1.021305,0.740872
"PCV","routine","NER",4.581886,3.499444,5.68884,4.560416
"Rota","routine","NER",3.559875,3.187057,3.94953,3.558377
"Rubella","campaign","NER",0.091498,-0.302195,1.97899,-0.088806
"Rubella","routine","NER",1.303866,0.209722,2.851815,1.210416
"Typhoid","campaign","NER",1.201144,0.211228,4.812306,0.884141
"Typhoid","routine","NER",1.594861,0.142533,7.963194,0.897547
"YF","campaign","NER",0.236165,0.071864,0.577394,0.206236
"YF","routine","NER",3.729167,0.938506,8.69875,3.29382
