"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","NGA",0.049442,0.007703,0.093774,0.045064
"Cholera","NGA",0.168867,0.136608,0.244291,0.166714
"HPV","NGA",10.167875,8.519849,11.982066,10.165799
"HepB","NGA",5.994284,4.569262,7.83016,5.85936
"Hib","NGA",3.7576,1.13336,7.603296,3.423742
"Measles","NGA",8.257368,6.856966,9.41031,8.320371
"Meningitis","NGA",0.62477,0.440388,0.832919,0.617606
"PCV","NGA",2.723835,-1.090211,6.765832,2.353227
"Rota","NGA",5.113836,-2.885622,12.865561,5.034256
"Rubella","NGA",0.689292,0.097367,1.781212,0.573297
"Typhoid","NGA",1.314618,0.271535,5.000073,0.989947
"YF","NGA",1.814615,0.470796,4.238968,1.596021
