"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","NIC",2.937405,0.819521,6.084388,2.518465
"COVID-19","routine","NIC",1.23132,0.509955,1.94915,1.182477
"HPV","campaign","NIC",327.69672,289.627585,366.682259,327.658215
"HPV","routine","NIC",588.753867,507.684922,665.867756,592.202717
"HepB","routine","NIC",31.479959,25.895532,37.049822,31.516217
"Hib","routine","NIC",80.782913,61.623151,100.76531,80.725084
"Measles","campaign","NIC",19.858117,3.593131,45.758743,16.740269
"Measles","routine","NIC",824.463072,645.729501,990.925803,824.144849
"PCV","routine","NIC",77.881461,36.370313,120.568648,78.940983
"Rota","routine","NIC",24.196399,16.761628,32.144512,24.027656
"Rubella","campaign","NIC",17.72104,-3.98763,58.296228,13.507045
"Rubella","routine","NIC",3.775067,0.554782,9.84197,3.273481
