"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","NPL",4.59802,2.006268,9.155131,3.936187
"COVID-19","routine","NPL",0.105754,-0.724686,0.99523,0.033587
"HPV","campaign","NPL",743.812936,631.122686,860.975549,741.938062
"HPV","routine","NPL",666.06542,562.878748,781.316811,667.305097
"HepB","routine","NPL",116.327311,92.404781,142.497511,115.553165
"Hib","routine","NPL",109.62974,44.545064,174.108984,106.025703
"JE","campaign","NPL",3.686563,0.86422,11.539492,2.817616
"JE","routine","NPL",101.967112,69.689227,138.27195,101.135622
"Measles","campaign","NPL",42.835693,15.357946,70.150039,42.754842
"Measles","routine","NPL",803.984083,639.844527,965.350171,801.870394
"PCV","routine","NPL",71.386763,-24.509591,174.694442,74.147115
"Rota","routine","NPL",25.713245,-93.420502,126.75306,32.410308
"Rubella","campaign","NPL",0.671923,-1.184069,4.589744,0.268726
"Rubella","routine","NPL",9.404132,3.966446,15.688514,9.16126
"Typhoid","campaign","NPL",5.918515,1.061993,22.11082,3.817806
"Typhoid","routine","NPL",11.822063,0.741389,61.075937,4.394913
