"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","NPL",0.146788,0.073694,0.284041,0.127081
"COVID-19","routine","NPL",-0.001559,-0.04788,0.041289,-0.002333
"HPV","campaign","NPL",15.286055,13.327724,17.432794,15.278786
"HPV","routine","NPL",13.265702,11.525648,15.104696,13.27304
"HepB","routine","NPL",3.800227,3.021114,4.654331,3.773505
"Hib","routine","NPL",1.509658,0.565567,2.427045,1.456846
"JE","campaign","NPL",0.04731,0.009741,0.154063,0.035258
"JE","routine","NPL",0.233951,0.102531,0.457092,0.218201
"Measles","campaign","NPL",0.543307,0.145607,0.914966,0.548912
"Measles","routine","NPL",11.528619,9.188133,13.893972,11.469852
"PCV","routine","NPL",0.970349,-0.395431,2.46886,1.010814
"Rota","routine","NPL",0.37364,-1.350141,1.823908,0.472259
"Rubella","campaign","NPL",0.005867,-0.026236,0.078623,-0.001512
"Rubella","routine","NPL",0.161907,0.066128,0.282379,0.156552
"Typhoid","campaign","NPL",0.133665,0.030307,0.408257,0.100095
"Typhoid","routine","NPL",0.23984,-0.031575,1.085089,0.10398
