"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","NPL",0.091369,0.046108,0.18724,0.082767
"HPV","NPL",14.434193,12.629521,16.462499,14.434896
"HepB","NPL",3.800227,3.021114,4.654331,3.773505
"Hib","NPL",1.509658,0.565567,2.427045,1.456846
"JE","NPL",0.160181,0.068573,0.330026,0.147033
"Measles","NPL",4.990263,3.860941,6.007026,4.992563
"PCV","NPL",0.970349,-0.395431,2.46886,1.010814
"Rota","NPL",0.37364,-1.350141,1.823908,0.472259
"Rubella","NPL",0.061648,0.016726,0.132344,0.056992
"Typhoid","NPL",0.166597,0.025532,0.580513,0.110337
