"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","PAK",4.536505,1.768282,9.705733,4.348071
"COVID-19","routine","PAK",1.308095,0.291152,2.077993,1.297405
"HPV","campaign","PAK",314.924972,264.668337,362.193515,315.66876
"HPV","routine","PAK",352.305191,291.369509,408.330646,353.866079
"HepB","routine","PAK",112.813071,88.208866,140.548374,111.947403
"Hib","routine","PAK",179.806244,112.11349,258.860297,177.24503
"JE","campaign","PAK",0.946733,0.242411,2.445815,0.718134
"JE","routine","PAK",77.905219,53.719065,104.447323,76.72299
"Measles","campaign","PAK",53.324719,31.968844,71.593347,54.515698
"Measles","routine","PAK",1098.254138,904.113795,1273.748644,1101.750091
"PCV","routine","PAK",114.885736,18.757288,203.887025,116.579676
"Rota","routine","PAK",57.483883,-18.092476,133.883101,59.017337
"Rubella","campaign","PAK",-3.493061,-14.352032,9.26402,-4.014555
"Rubella","routine","PAK",15.623721,7.084028,27.180185,14.958472
"Typhoid","campaign","PAK",2.967752,0.839603,10.713091,2.366085
"Typhoid","routine","PAK",1.496824,0.254119,4.910011,1.133775
