"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","PAK",3.36007,1.814681,6.427873,3.179502
"HPV","PAK",335.965757,279.491791,388.296563,336.506903
"HepB","PAK",112.813071,88.208866,140.548374,111.947403
"Hib","PAK",179.806244,112.11349,258.860297,177.24503
"JE","PAK",19.723815,13.655989,26.547218,19.455958
"Measles","PAK",429.290175,347.068406,492.289814,432.576559
"PCV","PAK",114.885736,18.757288,203.887025,116.579676
"Rota","PAK",57.483883,-18.092476,133.883101,59.017337
"Rubella","PAK",2.00572,-4.932517,13.932999,1.554868
"Typhoid","PAK",2.070241,0.520835,6.920495,1.646202
