"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","PAK",0.09008,0.042493,0.178734,0.090584
"HPV","PAK",5.756171,4.888436,6.641614,5.767567
"HepB","PAK",4.291193,3.35468,5.33323,4.263141
"Hib","PAK",2.536138,1.541639,3.68429,2.498769
"JE","PAK",0.093236,0.047256,0.164341,0.089066
"Measles","PAK",6.30843,5.103915,7.269809,6.350982
"PCV","PAK",1.614475,0.211003,2.914612,1.641963
"Rota","PAK",0.99019,-0.120571,2.120593,1.016651
"Rubella","PAK",0.052253,-0.060443,0.208957,0.043842
"Typhoid","PAK",0.047361,0.011844,0.133064,0.03963
