"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","PER",24.744407,12.107341,58.222192,20.630913
"COVID-19","routine","PER",-0.083535,-1.722132,1.047316,-0.047676
"HPV","campaign","PER",600.836372,537.543166,667.750677,599.860538
"HPV","routine","PER",1068.336225,947.175716,1199.290424,1066.577747
"HepB","routine","PER",35.874877,29.679678,43.920015,35.52924
"Hib","routine","PER",54.144549,35.629538,73.679285,53.636268
"Measles","campaign","PER",33.551243,13.18463,58.610462,32.606929
"Measles","routine","PER",859.225551,677.199077,1015.973294,863.367992
"PCV","routine","PER",40.31893,11.993552,71.976457,39.145383
"Rota","routine","PER",14.988204,3.52027,26.278084,14.546404
"Rubella","campaign","PER",19.47815,0.233654,45.155692,19.135068
"Rubella","routine","PER",3.014607,0.513593,5.130394,3.081161
"Typhoid","campaign","PER",7.68327,0.509422,37.607636,4.705256
"Typhoid","routine","PER",19.400262,0.667464,124.6313,6.319545
"YF","routine","PER",65.899762,15.787079,223.506856,54.885555
