"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","PER",13.964195,6.545005,32.194561,11.607166
"HPV","PER",954.01932,846.937354,1069.296163,952.45167
"HepB","PER",35.874877,29.679678,43.920015,35.52924
"Hib","PER",54.144549,35.629538,73.679285,53.636268
"Measles","PER",343.971548,263.780342,408.731747,347.44886
"PCV","PER",40.31893,11.993552,71.976457,39.145383
"Rota","PER",14.988204,3.52027,26.278084,14.546404
"Rubella","PER",14.532185,1.319419,31.896892,14.450324
"Typhoid","PER",9.341107,0.630874,48.187776,5.206542
"YF","PER",65.899762,15.787079,223.506856,54.885555
