"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","PER",0.823172,0.283987,1.857392,0.731205
"COVID-19","routine","PER",-0.005093,-0.095582,0.066875,-0.006798
"HPV","campaign","PER",14.171231,12.920174,15.46605,14.147953
"HPV","routine","PER",19.465016,17.597568,21.41622,19.431685
"HepB","routine","PER",1.152059,0.954902,1.391643,1.141599
"Hib","routine","PER",0.692378,0.45031,0.947629,0.685924
"Measles","campaign","PER",0.444554,0.16815,0.780213,0.434641
"Measles","routine","PER",11.366344,8.985871,13.444204,11.412943
"PCV","routine","PER",0.508129,0.136312,0.928298,0.49421
"Rota","routine","PER",0.197156,0.045849,0.348319,0.191069
"Rubella","campaign","PER",0.288964,0.016163,0.720815,0.267217
"Rubella","routine","PER",0.060315,0.012823,0.111381,0.05962
"Typhoid","campaign","PER",0.222086,0.013536,0.788042,0.16348
"Typhoid","routine","PER",0.464451,0.00346,2.939765,0.177221
"YF","routine","PER",1.483846,0.356051,4.90892,1.23963
