"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","PER",0.463542,0.189718,1.02222,0.396248
"HPV","PER",18.170536,16.474962,19.949591,18.14113
"HepB","PER",1.152059,0.954902,1.391643,1.141599
"Hib","PER",0.692378,0.45031,0.947629,0.685924
"Measles","PER",4.550707,3.496004,5.403639,4.59672
"PCV","PER",0.508129,0.136312,0.928298,0.49421
"Rota","PER",0.197156,0.045849,0.348319,0.191069
"Rubella","PER",0.220273,0.03047,0.516279,0.20695
"Typhoid","PER",0.256378,0.013775,0.980265,0.176822
"YF","PER",1.483846,0.356051,4.90892,1.23963
