"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","PNG",1.432187,-1.904682,6.458258,1.282065
"COVID-19","routine","PNG",0.628141,-1.791614,2.544809,0.455809
"HPV","campaign","PNG",332.100195,156.10544,753.301617,297.93872
"HPV","routine","PNG",353.908156,176.682479,774.267087,320.41251
"HepB","routine","PNG",139.436114,111.542546,172.15,139.122883
"Hib","routine","PNG",171.892776,61.854657,299.527575,171.068885
"JE","campaign","PNG",2.113233,0.044695,7.880354,1.370547
"JE","routine","PNG",100.370564,69.307203,132.744671,99.218419
"Measles","campaign","PNG",148.060823,100.676844,178.425034,150.642701
"Measles","routine","PNG",1100.455069,903.423573,1339.150286,1099.45779
"PCV","routine","PNG",97.287996,-105.701554,264.939242,97.09674
"Rota","routine","PNG",99.735881,-258.422766,460.810911,100.159189
"Rubella","campaign","PNG",37.975402,6.08191,77.188751,34.070957
"Rubella","routine","PNG",15.033374,0.472444,37.430429,14.038486
"Typhoid","campaign","PNG",269.127616,17.107956,886.291324,216.02073
"Typhoid","routine","PNG",166.56328,13.914738,604.052703,118.785933
