"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","PNG",0.930494,-0.233369,3.086168,0.803322
"HPV","PNG",341.112921,164.875697,761.661989,306.940798
"HepB","PNG",139.436114,111.542546,172.15,139.122883
"Hib","PNG",171.892776,61.854657,299.527575,171.068885
"JE","PNG",15.152914,9.834056,22.3995,15.089038
"Measles","PNG",445.640958,359.322281,522.418746,444.392535
"PCV","PNG",97.287996,-105.701554,264.939242,97.09674
"Rota","PNG",99.735881,-258.422766,460.810911,100.159189
"Rubella","PNG",31.433376,6.738061,60.852635,28.746748
"Typhoid","PNG",241.344748,17.974777,752.378012,194.719674
