"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","PNG",0.0093,-0.064698,0.109095,0.011763
"HPV","PNG",11.714241,3.917421,29.533758,10.037608
"HepB","PNG",5.988711,4.705988,7.528122,5.94628
"Hib","PNG",2.575831,0.882587,4.571618,2.570818
"JE","PNG",0.063194,0.026096,0.144956,0.054075
"Measles","PNG",6.758541,5.490895,7.927457,6.727973
"PCV","PNG",1.443296,-1.718104,4.068244,1.43917
"Rota","PNG",2.226313,-3.318202,7.79824,2.246292
"Rubella","PNG",0.402117,0.107071,0.917287,0.353521
"Typhoid","PNG",9.352624,0.463089,30.262056,7.523045
