"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"HPV","campaign","PRK",651.196062,556.485641,756.112474,649.674846
"HPV","routine","PRK",623.255389,532.719964,720.049905,620.635036
"HepB","routine","PRK",208.998619,165.696926,259.193581,206.569863
"Hib","routine","PRK",92.276226,42.304562,147.361273,93.309472
"JE","campaign","PRK",7.659517,1.249687,23.531129,5.79166
"JE","routine","PRK",118.144285,76.905442,166.271837,117.350984
"Measles","campaign","PRK",7.684589,1.551621,14.477286,7.533777
"Measles","routine","PRK",445.032092,334.796615,547.661206,446.335512
"PCV","routine","PRK",43.29722,-117.683501,181.591294,51.754904
"Rota","routine","PRK",24.526587,-22.095308,69.422345,24.127034
"Rubella","campaign","PRK",14.821633,1.73181,45.299017,9.853028
"Rubella","routine","PRK",59.764204,-6.476099,118.15824,61.387038
