"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"HPV","campaign","PRK",10.306676,8.870451,11.797432,10.306023
"HPV","routine","PRK",9.634305,8.309957,11.027397,9.634301
"HepB","routine","PRK",7.297852,5.704842,9.17809,7.190059
"Hib","routine","PRK",1.223993,0.525879,1.984384,1.235843
"JE","campaign","PRK",0.099041,0.014395,0.304334,0.074635
"JE","routine","PRK",0.481061,0.222735,0.884128,0.438951
"Measles","campaign","PRK",0.0937,0.004065,0.189672,0.093247
"Measles","routine","PRK",6.235575,4.705402,7.679873,6.239026
"PCV","routine","PRK",0.551514,-1.682988,2.47646,0.667637
"Rota","routine","PRK",0.333453,-0.326125,0.968935,0.327019
"Rubella","campaign","PRK",0.190819,0.025704,0.595935,0.14189
"Rubella","routine","PRK",0.78267,0.066841,1.842251,0.737245
