"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","PRY",0.363763,0.100722,0.826144,0.32197
"COVID-19","routine","PRY",-0.004337,-0.182865,0.168892,-0.003038
"HPV","campaign","PRY",22.869988,19.616717,26.147134,22.798321
"HPV","routine","PRY",15.186262,13.209681,17.390091,15.17643
"HepB","routine","PRY",0.637506,0.457902,0.951378,0.612127
"Hib","routine","PRY",0.523977,0.363934,0.727597,0.515686
"Measles","campaign","PRY",0.449426,0.102952,0.777993,0.458435
"Measles","routine","PRY",6.965312,5.579398,8.265692,6.946489
"PCV","routine","PRY",0.47854,0.11272,0.85024,0.468988
"Rota","routine","PRY",0.1796,0.035253,0.30764,0.182681
"Rubella","campaign","PRY",0.178207,-0.032029,0.621666,0.117729
"Rubella","routine","PRY",0.065712,0.000756,0.127163,0.065054
"Typhoid","campaign","PRY",0.084501,0.004498,0.323934,0.061727
"Typhoid","routine","PRY",0.112696,0.002541,0.840033,0.044661
