"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","PSE",4.579262,1.395205,8.990368,4.125572
"COVID-19","routine","PSE",2.146001,-1.451158,5.92659,2.192174
"HPV","campaign","PSE",504.008372,402.753091,684.120045,491.387741
"HPV","routine","PSE",510.349257,414.221245,672.474514,499.482121
"HepB","routine","PSE",42.785023,33.154718,54.849874,42.102214
"Hib","routine","PSE",8.632925,6.591183,11.496368,8.47764
"Measles","campaign","PSE",4.031717,0.005447,15.783087,3.293361
"Measles","routine","PSE",297.960018,219.403465,367.736469,298.397981
"PCV","routine","PSE",5.042546,1.936613,8.417416,5.120256
"Rota","routine","PSE",3.548264,2.304406,5.084768,3.492083
"Rubella","campaign","PSE",7.45519,0.121649,23.540043,6.203578
"Rubella","routine","PSE",12.272495,0.947553,26.923168,10.749458
