"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","RWA",1.647892,0.601855,3.344217,1.432801
"HPV","RWA",537.759239,452.288007,638.0666,536.564959
"HepB","RWA",128.06476,104.615217,154.894324,128.268622
"Hib","RWA",289.248064,201.04632,401.341263,288.07059
"Measles","RWA",391.052316,306.051543,469.087604,391.833059
"Meningitis","RWA",68.363898,35.585786,97.625898,68.80819
"PCV","RWA",156.542057,47.437183,267.660119,148.251497
"Rota","RWA",58.50171,-7.376528,111.761932,58.878342
"Rubella","RWA",25.507328,2.280525,76.733612,20.499914
"Typhoid","RWA",32.511796,2.803212,248.287397,13.625795
"YF","RWA",32.006646,10.544744,68.496966,29.634012
