"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","RWA",0.067155,0.012471,0.145903,0.059378
"COVID-19","routine","RWA",-0.007777,-0.055135,0.051922,-0.013729
"HPV","campaign","RWA",11.627503,9.282503,14.543551,11.580168
"HPV","routine","RWA",14.996745,11.637228,19.222358,14.903799
"HepB","routine","RWA",4.80305,3.923725,5.802841,4.797814
"Hib","routine","RWA",4.22584,2.923539,5.881707,4.220928
"Measles","campaign","RWA",0.794596,0.372705,1.276322,0.781554
"Measles","routine","RWA",9.586258,7.59008,11.62209,9.54528
"MenACWYX","campaign","RWA",0.89325,0.434303,1.339567,0.889262
"MenACWYX","routine","RWA",0.753794,0.416112,1.068099,0.770153
"PCV","routine","RWA",2.186528,0.527825,3.874852,2.066353
"Rota","routine","RWA",0.920215,-0.098189,1.732373,0.92581
"Rubella","campaign","RWA",0.218315,-0.000723,1.010582,0.113615
"Rubella","routine","RWA",0.384306,0.065179,1.260516,0.304121
"Typhoid","campaign","RWA",0.530701,0.090778,1.753562,0.381478
"Typhoid","routine","RWA",1.319863,0.048369,13.614554,0.39461
"YF","routine","RWA",0.904188,0.302538,1.937861,0.844246
