"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","RWA",0.036229,-0.001537,0.086772,0.030742
"HPV","RWA",14.713148,11.44736,18.828148,14.621204
"HepB","RWA",4.80305,3.923725,5.802841,4.797814
"Hib","RWA",4.22584,2.923539,5.881707,4.220928
"Measles","RWA",5.922404,4.596909,7.160109,5.927783
"Meningitis","RWA",0.992105,0.527693,1.385474,0.99138
"PCV","RWA",2.186528,0.527825,3.874852,2.066353
"Rota","RWA",0.920215,-0.098189,1.732373,0.92581
"Rubella","RWA",0.310865,0.043017,1.130303,0.238485
"Typhoid","RWA",0.742691,0.088491,4.468602,0.410499
"YF","RWA",0.904188,0.302538,1.937861,0.844246
