"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","SDN",0.040534,-0.118644,0.193849,0.03753
"COVID-19","routine","SDN",0.12437,-0.116785,0.303877,0.137297
"HPV","campaign","SDN",14.248123,12.268641,16.250188,14.175715
"HPV","routine","SDN",13.369617,11.588324,15.137631,13.328069
"HepB","routine","SDN",6.067108,5.005717,7.142325,6.069669
"Hib","routine","SDN",4.13723,2.9028,5.621861,4.0726
"Measles","campaign","SDN",0.538723,0.185802,0.953748,0.523798
"Measles","routine","SDN",12.465732,10.380806,14.423919,12.471454
"MenA","campaign","SDN",0.718435,0.51221,0.919369,0.723798
"MenA","routine","SDN",0.317468,0.12887,0.48962,0.330026
"MenACWYX","campaign","SDN",0.903142,0.136631,1.601962,0.902425
"MenACWYX","routine","SDN",0.643938,0.320422,0.952752,0.669913
"PCV","routine","SDN",2.661626,0.924609,4.633446,2.728349
"Rota","routine","SDN",0.944514,0.20312,1.673814,0.954151
"Rubella","campaign","SDN",-0.093035,-0.26861,0.152559,-0.097839
"Rubella","routine","SDN",1.208994,0.13074,2.680127,1.138513
"Typhoid","campaign","SDN",0.3953,0.071756,0.986828,0.343366
"Typhoid","routine","SDN",0.977044,-0.491921,6.240564,0.373684
"YF","campaign","SDN",1.138062,0.316569,2.531832,1.027576
"YF","routine","SDN",8.045951,1.824927,20.637468,7.096607
