"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","SDN",0.069507,-0.004522,0.176143,0.0743
"HPV","SDN",13.867297,11.99624,15.753537,13.815648
"HepB","SDN",6.067108,5.005717,7.142325,6.069669
"Hib","SDN",4.13723,2.9028,5.621861,4.0726
"Measles","SDN",5.170252,4.229186,6.010362,5.18828
"Meningitis","SDN",0.709544,0.465813,0.964579,0.715646
"PCV","SDN",2.661626,0.924609,4.633446,2.728349
"Rota","SDN",0.944514,0.20312,1.673814,0.954151
"Rubella","SDN",0.62539,0.056298,1.443803,0.574856
"Typhoid","SDN",0.506797,0.066281,1.699642,0.374028
"YF","SDN",2.110732,0.537561,5.1156,1.881416
