"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","SEN",2.960508,0.25668,4.971562,2.815523
"HPV","SEN",1482.35626,1180.182896,1887.043964,1467.350485
"HepB","SEN",164.126316,131.426196,211.083969,162.570999
"Hib","SEN",282.558969,197.974625,389.019708,280.057408
"Measles","SEN",897.311423,711.628224,1057.579152,897.507965
"Meningitis","SEN",62.840239,35.462845,89.051283,62.283157
"PCV","SEN",161.260963,-2.169774,326.17675,158.111932
"Rota","SEN",90.861445,7.220753,182.647218,86.002065
"Rubella","SEN",4.546508,0.569374,11.482463,3.865491
"Typhoid","SEN",34.758063,5.562276,155.721638,22.542299
"YF","SEN",243.342951,63.36258,556.689116,217.824407
