"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","SEN",0.069508,-0.107888,0.281951,0.06945
"COVID-19","routine","SEN",0.057059,-0.143257,0.229615,0.052277
"HPV","routine","SEN",29.917544,21.269398,44.335076,28.740522
"HepB","routine","SEN",5.816155,4.673857,7.500992,5.765415
"Hib","routine","SEN",4.077557,2.844372,5.637441,4.050246
"Measles","campaign","SEN",1.629049,0.71814,2.477314,1.64791
"Measles","routine","SEN",25.380836,20.70255,30.180899,25.205896
"MenA","campaign","SEN",0.75784,0.401828,1.027371,0.777134
"MenACWYX","campaign","SEN",0.824768,0.300994,1.519332,0.770446
"MenACWYX","routine","SEN",0.945141,0.544254,1.361018,0.979573
"PCV","routine","SEN",2.277404,-0.150125,4.687125,2.226946
"Rota","routine","SEN",1.54568,0.312948,2.889923,1.47556
"Rubella","campaign","SEN",-0.045177,-0.158897,0.133113,-0.049592
"Rubella","routine","SEN",0.255219,0.049031,0.537119,0.241862
"Typhoid","campaign","SEN",0.855879,0.198492,2.742741,0.673385
"Typhoid","routine","SEN",1.08029,0.142993,4.693702,0.696295
"YF","campaign","SEN",1.48157,0.424669,3.116302,1.362536
"YF","routine","SEN",7.114629,1.847455,16.406366,6.355971
