"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","SEN",0.064148,-0.024126,0.137791,0.066035
"HPV","SEN",29.917544,21.269398,44.335076,28.740522
"HepB","SEN",5.816155,4.673857,7.500992,5.765415
"Hib","SEN",4.077557,2.844372,5.637441,4.050246
"Measles","SEN",13.048876,10.364708,15.440056,13.028812
"Meningitis","SEN",0.869727,0.50766,1.212906,0.861909
"PCV","SEN",2.277404,-0.150125,4.687125,2.226946
"Rota","SEN",1.54568,0.312948,2.889923,1.47556
"Rubella","SEN",0.085688,0.008251,0.257648,0.064908
"Typhoid","SEN",0.918326,0.189573,3.232347,0.709329
"YF","SEN",5.988186,1.563669,13.786856,5.356611
