"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","SLE",0.790013,-0.387305,1.789575,0.883922
"HPV","SLE",460.359729,376.848101,557.41596,459.707327
"HepB","SLE",223.155523,177.437984,297.805313,217.310246
"Hib","SLE",268.306897,170.235823,403.081525,262.73434
"Measles","SLE",721.554152,585.600682,850.813508,722.773011
"PCV","SLE",160.197543,22.799043,300.976928,160.572797
"Rota","SLE",59.945235,10.876595,108.933549,59.419517
"Rubella","SLE",18.574423,1.985776,57.653795,13.468246
"Typhoid","SLE",94.234643,11.418942,551.906651,46.971932
"YF","SLE",197.93468,51.140192,497.093672,170.626447
