"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","SLE",0.011311,-0.042724,0.04174,0.011563
"HPV","SLE",10.955627,9.602426,12.502848,10.934429
"HepB","SLE",9.693648,7.250138,13.925742,9.353951
"Hib","SLE",4.693065,2.878617,7.133329,4.593856
"Measles","SLE",11.916059,9.466928,14.369502,11.907974
"PCV","SLE",2.734409,0.224411,5.325557,2.768549
"Rota","SLE",1.134371,0.178139,2.057227,1.123808
"Rubella","SLE",0.228015,0.025578,0.837324,0.15712
"Typhoid","SLE",2.450797,0.348228,11.97723,1.518769
"YF","SLE",5.14308,1.316959,12.777572,4.435225
