"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","SOM",0.050709,0.003694,0.109472,0.047788
"Cholera","SOM",0.50998,0.353296,1.254675,0.43949
"HPV","SOM",14.660165,10.962324,19.605838,14.418815
"HepB","SOM",7.956614,6.226191,10.302211,7.835996
"Hib","SOM",7.107693,1.786381,12.648997,7.14729
"Measles","SOM",14.971536,12.928209,16.64594,15.04479
"PCV","SOM",2.579799,-26.967516,27.206627,2.500367
"Rota","SOM",4.274982,-5.763796,15.311577,4.015614
"Rubella","SOM",0.227118,-0.034485,0.680933,0.195596
"YF","SOM",2.868422,0.733128,6.853507,2.593836
