"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","SSD",0.037277,-0.101614,0.178339,0.038134
"COVID-19","routine","SSD",0.082442,-0.524461,0.485363,0.092354
"HPV","campaign","SSD",9.552065,6.834388,13.521626,9.327502
"HPV","routine","SSD",9.329501,6.686237,13.229957,9.10805
"HepB","routine","SSD",6.296762,5.231551,7.684087,6.252888
"Hib","routine","SSD",5.12563,0.77548,9.742748,5.214229
"Measles","campaign","SSD",5.714146,3.801505,7.719429,5.696183
"Measles","routine","SSD",35.610185,31.340142,39.889717,35.627706
"MenA","campaign","SSD",0.288889,0.209468,0.394162,0.283897
"MenA","routine","SSD",0.930136,0.315517,1.372623,0.958836
"MenACWYX","campaign","SSD",0.879873,0.377203,1.405969,0.862917
"MenACWYX","routine","SSD",0.656836,0.320001,0.982784,0.675365
"PCV","routine","SSD",1.809963,-16.883984,21.453091,1.182501
"Rota","routine","SSD",2.822049,-7.245115,12.333916,3.658089
"Rubella","campaign","SSD",0.149754,-0.091811,1.661884,-0.004973
"Rubella","routine","SSD",0.614741,0.07002,1.376476,0.58647
"YF","campaign","SSD",0.675553,0.146518,1.73706,0.584225
"YF","routine","SSD",10.6577,2.615795,25.786362,9.431674
