"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","STP",3.363155,1.52646,6.54376,3.290648
"COVID-19","routine","STP",2.174886,0.833053,3.503974,2.001044
"HPV","campaign","STP",1290.733415,10.546649,9967.2936,236.822407
"HPV","routine","STP",1566.011231,278.685599,10098.37322,534.041226
"HepB","routine","STP",142.978799,116.474176,175.922309,142.086711
"Hib","routine","STP",98.025385,58.09849,148.653811,96.624008
"Measles","campaign","STP",59.870597,24.702076,107.128695,55.875881
"Measles","routine","STP",1325.268206,1044.787179,1596.277734,1323.831128
"PCV","routine","STP",58.517355,7.476258,108.19407,57.72465
"Rota","routine","STP",14.463169,-14.563417,50.011664,13.942261
"Rubella","campaign","STP",17.184,-77.535763,134.643705,14.413119
"Rubella","routine","STP",33.566394,9.2e-05,72.887214,33.170745
"Typhoid","campaign","STP",73.209694,13.461361,189.775082,62.918154
"Typhoid","routine","STP",73.872271,9.699846,299.755969,49.177655
