"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","STP",0.008229,0,0.054219,0
"COVID-19","routine","STP",0,0,0,0
"HPV","campaign","STP",80.304903,0.444728,619.332452,14.520738
"HPV","routine","STP",75.686131,4.300807,556.042485,17.085561
"HepB","routine","STP",5.473204,4.479089,6.679477,5.445417
"Hib","routine","STP",1.349648,0.776838,2.072304,1.329883
"Measles","campaign","STP",0.489076,-0.052362,1.188652,0.429828
"Measles","routine","STP",19.754729,15.673416,23.777883,19.71305
"PCV","routine","STP",0.79754,0.060899,1.513692,0.786666
"Rota","routine","STP",0.204409,-0.221727,0.720647,0.196955
"Rubella","campaign","STP",0.252377,-1.862267,2.393149,0.191927
"Rubella","routine","STP",0.444139,0,1.135254,0.41348
"Typhoid","campaign","STP",2.537361,0.421065,5.768944,2.372566
"Typhoid","routine","STP",2.054035,0.260311,6.789579,1.495516
