"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","SWZ",2.71515,1.055825,6.422372,2.286137
"COVID-19","routine","SWZ",1.872058,1.126869,2.727942,1.910409
"HPV","campaign","SWZ",1092.373241,947.903533,1249.981126,1091.635929
"HPV","routine","SWZ",1079.479993,940.851595,1230.110902,1078.056035
"HepB","routine","SWZ",120.553633,92.412875,157.079677,118.806576
"Hib","routine","SWZ",97.76956,73.808928,129.865116,96.018908
"Measles","campaign","SWZ",7.052506,4.001941,14.82215,5.868346
"Measles","routine","SWZ",252.394314,193.71104,310.583106,251.611172
"PCV","routine","SWZ",58.324425,34.623089,84.418451,57.804433
"Rota","routine","SWZ",49.944672,42.884095,58.274931,49.835367
"Rubella","campaign","SWZ",-3.750019,-48.809076,75.317946,-7.681479
"Rubella","routine","SWZ",14.850658,1.639392,27.845569,14.864596
"Typhoid","campaign","SWZ",12.350783,1.15132,65.016531,8.074819
"Typhoid","routine","SWZ",30.317198,0.989727,182.297493,10.366218
