"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","SWZ",0.088927,0.03561,0.203197,0.086353
"COVID-19","routine","SWZ",0,0,0,0
"HPV","campaign","SWZ",29.078656,25.487865,33.142572,29.012654
"HPV","routine","SWZ",28.709447,25.082396,32.900806,28.619472
"HepB","routine","SWZ",4.929331,3.728787,6.57169,4.8415
"Hib","routine","SWZ",1.638754,1.241471,2.174028,1.612877
"Measles","campaign","SWZ",0.065252,0.009678,0.202775,0.044343
"Measles","routine","SWZ",4.575957,3.416552,5.740964,4.560217
"PCV","routine","SWZ",0.912101,0.532522,1.326517,0.904996
"Rota","routine","SWZ",0.871293,0.751622,1.010375,0.868621
"Rubella","campaign","SWZ",-0.125921,-0.887456,1.057897,-0.142721
"Rubella","routine","SWZ",0.205162,0.023687,0.446128,0.19129
"Typhoid","campaign","SWZ",0.341892,0.01814,1.231076,0.269961
"Typhoid","routine","SWZ",0.644149,0.012447,5.099767,0.201809
