"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","SYR",-0.011412,-0.258905,0.216753,-0.015697
"COVID-19","routine","SYR",0.003011,-0.206893,0.322252,-0.016301
"HPV","campaign","SYR",2.317305,1.000549,6.567829,1.902372
"HPV","routine","SYR",3.71085,2.388325,7.735838,3.36094
"HepB","routine","SYR",3.981966,2.723686,5.950537,3.782268
"Hib","routine","SYR",0.276294,0.166892,0.395325,0.273256
"Measles","campaign","SYR",0.760004,0.444122,1.011424,0.767153
"Measles","routine","SYR",5.566096,4.486027,6.513994,5.582903
"PCV","routine","SYR",0.068797,-2.234053,1.660536,0.071596
"Rota","routine","SYR",0.097374,-0.614631,0.719661,0.054257
"Rubella","campaign","SYR",0.031773,-0.081006,0.237503,0.007376
"Rubella","routine","SYR",0.162363,0.02479,0.312039,0.158227
