"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","TCD",0.851111,-0.87174,2.350739,0.951133
"HPV","TCD",199.906561,152.831541,259.602625,198.406421
"HepB","TCD",161.484956,125.323153,212.645422,157.9789
"Hib","TCD",481.320714,204.353614,741.577697,468.377378
"Measles","TCD",803.401261,702.961507,887.116878,808.645199
"Meningitis","TCD",38.45254,20.566556,51.788395,38.429739
"PCV","TCD",343.899601,-1283.253383,1607.78818,361.700357
"Rota","TCD",429.90124,-327.50565,1174.044215,397.404031
"Rubella","TCD",30.273664,-0.882086,94.152154,23.578501
"Typhoid","TCD",155.551573,48.792417,378.409344,135.424405
"YF","TCD",29.959755,8.905743,66.138971,27.206898
