"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","TCD",0.014249,-0.086996,0.106566,0.017168
"COVID-19","routine","TCD",-0.011919,-0.24588,0.198271,0.018682
"HPV","campaign","TCD",5.584814,3.898911,8.022803,5.452737
"HPV","routine","TCD",7.017578,5.067979,9.712038,6.869246
"HepB","routine","TCD",7.667537,5.87363,10.219146,7.508799
"Hib","routine","TCD",8.380699,3.389782,13.011077,8.171164
"Measles","campaign","TCD",5.769368,4.254854,6.695429,5.853183
"Measles","routine","TCD",37.853042,32.727248,43.339603,38.10276
"MenA","campaign","TCD",0.665228,0.470326,0.88213,0.658577
"MenA","routine","TCD",0.312675,0.136583,0.485964,0.317156
"MenACWYX","campaign","TCD",0.774998,0.120506,1.344698,0.767047
"MenACWYX","routine","TCD",0.639473,0.31586,0.933622,0.656598
"PCV","routine","TCD",5.826538,-23.489449,28.731581,6.125462
"Rota","routine","TCD",10.574315,-3.129966,23.909355,9.990565
"Rubella","campaign","TCD",0.105257,-0.155857,1.405714,-0.041849
"Rubella","routine","TCD",0.766366,0.034705,1.85906,0.695766
"Typhoid","campaign","TCD",5.904246,2.072111,12.224111,5.596289
"Typhoid","routine","TCD",6.348508,1.503387,20.052429,5.245223
"YF","campaign","TCD",0.290695,0.098441,0.580467,0.274291
"YF","routine","TCD",3.137604,0.856787,7.287528,2.809369
