"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","TGO",2.571055,0.206339,6.249232,2.572125
"COVID-19","routine","TGO",3.901147,0.117778,9.395042,3.607387
"HPV","campaign","TGO",262.387298,206.549481,327.317308,260.603583
"HPV","routine","TGO",254.586572,198.058365,317.426741,252.908905
"HepB","routine","TGO",163.81468,123.05289,227.474498,158.142123
"Hib","routine","TGO",137.048789,78.896152,207.252792,134.02997
"Measles","campaign","TGO",111.663697,56.898842,155.23954,114.176878
"Measles","routine","TGO",1292.782365,1074.323723,1525.423258,1295.430224
"MenA","campaign","TGO",29.803805,19.854717,41.07578,30.006512
"MenA","routine","TGO",21.564194,8.53078,32.319333,21.770492
"MenACWYX","campaign","TGO",61.704278,12.40878,101.47482,62.515536
"MenACWYX","routine","TGO",32.025093,17.143788,48.389461,32.355121
"PCV","routine","TGO",88.158174,-16.082189,187.725462,91.656272
"Rota","routine","TGO",96.960235,57.024581,131.683395,97.658305
"Rubella","campaign","TGO",11.512772,-26.601424,118.709817,-0.132331
"Rubella","routine","TGO",24.101724,10.352354,39.223682,24.514187
"Typhoid","campaign","TGO",42.15605,7.377726,293.754313,21.256834
"Typhoid","routine","TGO",70.023,5.752371,376.226621,30.154223
"YF","campaign","TGO",66.118095,16.934155,171.003267,59.000347
"YF","routine","TGO",233.090354,55.764245,546.178005,201.433926
