"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","THA",29.870819,12.564747,70.28325,26.270304
"COVID-19","routine","THA",-0.218898,-1.593794,1.829643,-0.363994
"HPV","campaign","THA",329.063063,287.934054,374.769911,327.506878
"HPV","routine","THA",295.887121,261.60951,336.15817,293.518091
"HepB","routine","THA",191.957809,158.359496,238.635477,189.374341
"Hib","routine","THA",17.371936,-15.807999,48.873839,17.924065
"JE","routine","THA",113.693684,77.822229,150.344068,111.908743
"Measles","campaign","THA",8.761983,3.237819,14.251769,8.697964
"Measles","routine","THA",274.174669,202.121234,349.444573,273.068581
"PCV","routine","THA",13.37934,-23.197155,51.39189,12.853932
"Rota","routine","THA",5.237187,-4.508631,14.679081,5.259099
"Rubella","campaign","THA",12.2128,2.347091,24.154651,11.559608
"Rubella","routine","THA",16.512401,7.337026,28.97425,16.434735
"Typhoid","campaign","THA",4.010988,0.325493,18.631068,1.846374
"Typhoid","routine","THA",10.792119,0.272542,63.768093,2.967002
