"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","TJK",2.368652,0.877017,4.683572,2.053926
"COVID-19","routine","TJK",2.538969,2.379958,2.716666,2.557048
"HPV","campaign","TJK",1771.056672,1332.734245,2310.718822,1758.812685
"HPV","routine","TJK",1784.873758,1406.823795,2202.73948,1784.137882
"HepB","routine","TJK",100.458469,86.037972,114.963609,100.241935
"Hib","routine","TJK",180.075443,117.437199,252.964263,178.629838
"Measles","campaign","TJK",5.943482,0.66807,16.995116,4.246582
"Measles","routine","TJK",212.492697,165.612366,253.817474,212.856148
"PCV","routine","TJK",108.166668,-139.684467,325.52419,104.735747
"Rota","routine","TJK",33.113061,9.227342,60.156008,31.22992
"Rubella","campaign","TJK",34.210545,0.341254,132.360058,25.158005
"Rubella","routine","TJK",31.98115,3.19827,71.56046,26.98852
