"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","TLS",0.105182,0.020926,0.212162,0.095328
"COVID-19","routine","TLS",-0.000307,-0.068316,0.080372,0
"HPV","campaign","TLS",5.765151,3.859797,8.551506,5.561544
"HPV","routine","TLS",5.128186,3.457751,7.551353,4.951032
"HepB","routine","TLS",4.484953,3.625034,5.435722,4.463256
"Hib","routine","TLS",3.447561,1.710578,5.269908,3.454639
"JE","campaign","TLS",0.000171,1.7e-05,0.001201,3.2e-05
"JE","routine","TLS",0.234976,0.112112,0.447347,0.219466
"Measles","campaign","TLS",1.143727,0.596451,1.684939,1.149476
"Measles","routine","TLS",9.97611,8.149126,11.87991,9.94513
"PCV","routine","TLS",1.545779,-4.628463,7.396478,1.487526
"Rota","routine","TLS",0.63427,-0.989243,2.481685,0.644085
"Rubella","campaign","TLS",-0.081707,-0.583818,0.63371,-0.117548
"Rubella","routine","TLS",0.218352,0.003053,0.450333,0.217535
