"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","TON",0.016892,0,0.126106,0
"COVID-19","routine","TON",0,0,0,0
"HPV","campaign","TON",70.622491,60.611618,81.384337,70.227113
"HPV","routine","TON",22.181055,19.179852,25.590422,22.055447
"HepB","routine","TON",5.858268,4.365202,7.665823,5.811139
"Hib","routine","TON",0.442842,0.327723,0.555815,0.442311
"Measles","campaign","TON",-0.057952,-0.079163,-0.03775,-0.056625
"Measles","routine","TON",2.556825,1.852296,3.216252,2.552567
"PCV","routine","TON",0.250761,-0.511866,0.902578,0.270411
"Rota","routine","TON",0.048791,-0.181747,0.273616,0.046771
"Rubella","campaign","TON",0.244026,-1.330837,1.725502,0.216999
"Rubella","routine","TON",0.191445,0.000489,0.687747,0.131503
