"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","TUV",0,0,0,0
"COVID-19","routine","TUV",0,0,0,0
"HPV","routine","TUV",477.721895,383.422661,573.564805,478.00675
"HepB","routine","TUV",101.63733,79.034979,131.160804,100.572157
"Hib","routine","TUV",38.827956,26.702237,55.550923,37.687086
"Measles","campaign","TUV",21.254165,9.612631,42.734414,17.953569
"Measles","routine","TUV",535.177421,431.380215,614.579549,540.236077
"PCV","routine","TUV",12.065415,3.586847,20.842339,11.713972
"Rota","routine","TUV",5.191628,0.760994,13.557043,3.924735
"Rubella","campaign","TUV",24.402175,-16.217832,73.178786,19.226155
"Rubella","routine","TUV",3.283432,0,23.564219,0.722673
