"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","TZA",0.017999,-0.025151,0.069491,0.017596
"COVID-19","routine","TZA",0.048281,-0.058401,0.159649,0.050248
"HPV","routine","TZA",44.116257,39.123064,49.074676,44.065977
"HepB","routine","TZA",4.608559,3.778585,5.578471,4.594445
"Hib","routine","TZA",2.515456,1.378465,3.567323,2.466964
"Measles","campaign","TZA",0.429874,0.12225,0.867214,0.387867
"Measles","routine","TZA",10.135594,8.003456,12.127023,10.105305
"MenA","campaign","TZA",0.078971,0.027889,0.300472,0.05169
"MenA","routine","TZA",9.164669,4.200245,13.863645,9.20932
"MenACWYX","campaign","TZA",1.017949,0.223163,1.712302,1.041701
"MenACWYX","routine","TZA",0.806449,0.426387,1.095325,0.855539
"PCV","routine","TZA",1.834468,0.127155,3.464234,1.749712
"Rota","routine","TZA",0.602177,-0.066386,1.240025,0.603757
"Rubella","campaign","TZA",0.159818,-0.301077,1.053612,0.055929
"Rubella","routine","TZA",0.433683,0.171042,0.780898,0.422177
"Typhoid","campaign","TZA",0.820106,0.126556,3.390891,0.514141
"Typhoid","routine","TZA",1.80151,0.062871,15.040424,0.703144
"YF","routine","TZA",2.09227,0.5839,4.819753,1.912528
