"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","TZA",0.02389,-0.004218,0.054443,0.023329
"HPV","TZA",44.116257,39.123064,49.074676,44.065977
"HepB","TZA",4.608559,3.778585,5.578471,4.594445
"Hib","TZA",2.515456,1.378465,3.567323,2.466964
"Measles","TZA",5.130643,3.943711,6.166345,5.148565
"Meningitis","TZA",0.578878,0.190253,0.874753,0.587983
"PCV","TZA",1.834468,0.127155,3.464234,1.749712
"Rota","TZA",0.602177,-0.066386,1.240025,0.603757
"Rubella","TZA",0.285294,0.032725,0.813035,0.230142
"Typhoid","TZA",1.095548,0.119754,5.916685,0.607511
"YF","TZA",2.09227,0.5839,4.819753,1.912528
