"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","UGA",2.42489,-0.393367,5.498759,2.202124
"COVID-19","routine","UGA",4.095854,-1.762545,11.206315,3.694937
"HPV","routine","UGA",542.843783,471.147331,608.497173,544.00313
"HepB","routine","UGA",139.159335,105.933733,179.086055,137.599493
"Hib","routine","UGA",141.434218,96.753878,233.750127,136.794504
"Measles","campaign","UGA",53.555735,30.482595,76.944817,53.519257
"Measles","routine","UGA",610.11138,496.851617,727.843959,608.846816
"MenA","campaign","UGA",26.545426,18.401329,38.521821,25.628415
"MenA","routine","UGA",140.32873,71.958692,210.532697,142.185117
"MenACWYX","campaign","UGA",65.097544,18.271363,110.91734,64.321884
"MenACWYX","routine","UGA",42.208315,24.52984,61.048021,43.655356
"PCV","routine","UGA",80.805726,3.112589,204.639866,74.363657
"Rota","routine","UGA",33.08892,-24.858418,78.243858,33.771262
"Rubella","campaign","UGA",11.487586,-17.445958,101.253799,-0.677653
"Rubella","routine","UGA",11.800591,3.728214,19.220282,11.787314
"Typhoid","campaign","UGA",20.644777,2.765035,91.859674,10.872715
"Typhoid","routine","UGA",47.687763,2.310413,266.161199,17.658789
"YF","routine","UGA",78.91497,23.232251,176.754017,71.650658
