"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","UGA",2.805067,0.738463,5.259671,2.597933
"HPV","UGA",542.843783,471.147331,608.497173,544.00313
"HepB","UGA",139.159335,105.933733,179.086055,137.599493
"Hib","UGA",141.434218,96.753878,233.750127,136.794504
"Measles","UGA",264.424198,212.126291,310.778165,265.278952
"Meningitis","UGA",43.492776,27.835465,61.233498,43.887669
"PCV","UGA",80.805726,3.112589,204.639866,74.363657
"Rota","UGA",33.08892,-24.858418,78.243858,33.771262
"Rubella","UGA",11.60174,-7.500939,67.363576,4.159095
"Typhoid","UGA",27.396946,2.952759,120.267818,12.441142
"YF","UGA",78.91497,23.232251,176.754017,71.650658
