"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","UGA",0.051644,-0.022169,0.13024,0.043511
"HPV","UGA",19.98569,17.372,22.101527,20.007464
"HepB","UGA",6.029768,4.533567,8.10615,5.920663
"Hib","UGA",2.182068,1.465124,3.624422,2.105617
"Measles","UGA",4.257998,3.373574,5.034286,4.272285
"Meningitis","UGA",0.659537,0.436876,0.910178,0.665127
"PCV","UGA",1.176197,-0.090558,3.1768,1.067052
"Rota","UGA",0.557023,-0.390846,1.295984,0.569865
"Rubella","UGA",0.165138,-0.075769,1.002395,0.078183
"Typhoid","UGA",0.643208,0.079831,2.534059,0.369941
"YF","UGA",2.336883,0.665206,5.322966,2.116493
